[20:04:40] Slot ID: P00, Vehicle ID: VIP007, VIP Assigned
[13:20:42] Slot ID: P01, Vehicle ID: V203, Assigned
[13:20:42] Slot ID: P00, Vehicle ID: N/A, Slot Released
[13:20:48] Slot ID: P00, Vehicle ID: V203, Assigned
[13:20:56] Slot ID: P02, Vehicle ID: V203, Assigned
[13:21:05] Slot ID: P03, Vehicle ID: VIP007, VIP Assigned
[13:21:05] Slot ID: P04, Vehicle ID: V203, Assigned
[13:21:05] Slot ID: P00, Vehicle ID: N/A, Slot Released
[13:21:14] Slot ID: P00, Vehicle ID: V203, Assigned
[13:21:22] Slot ID: P05, Vehicle ID: V203, Assigned
[13:21:31] Slot ID: P06, Vehicle ID: VIP007, VIP Assigned
[13:21:31] Slot ID: P07, Vehicle ID: V203, Assigned
[13:21:31] Slot ID: P00, Vehicle ID: N/A, Slot Released
[13:21:40] Slot ID: P00, Vehicle ID: V203, Assigned
[13:21:48] Slot ID: P08, Vehicle ID: V203, Assigned
[13:21:57] Slot ID: P09, Vehicle ID: VIP007, VIP Assigned
[13:21:57] Slot ID: P00, Vehicle ID: N/A, Slot Released
[13:22:05] Slot ID: P00, Vehicle ID: V203, Assigned
[13:22:22] Slot ID: P00, Vehicle ID: N/A, Slot Released
[13:22:31] Slot ID: P00, Vehicle ID: V203, Assigned
[13:22:48] Slot ID: P00, Vehicle ID: N/A, Slot Released
[13:22:56] Slot ID: P00, Vehicle ID: V203, Assigned
